fold,days,mean_correct,mean_accuracy,mean_volume_capture,mean_rank_error,mean_rank_correlation,mean_ndcg_at_k,mean_ndcg_full
1,90,8.6,0.8600000000000001,0.9768598442275748,1.848888888888889,0.8463051257600459,0.9686231671121539,0.9811591755718464
2,90,8.455555555555556,0.8455555555555556,0.9750714397919172,1.9644444444444447,0.8341867722100887,0.9704620672810021,0.982350309982279
3,90,8.522222222222222,0.8522222222222222,0.9754378179940427,1.9244444444444444,0.8682525522846665,0.9756979739619243,0.9868468032284256
4,90,8.455555555555556,0.8455555555555556,0.9716769827822668,2.0966666666666667,0.8770842946055964,0.9705605011504168,0.9841846403132114
