fold,days,mean_correct,mean_accuracy,mean_volume_capture,mean_rank_error,mean_rank_correlation,mean_ndcg_at_k,mean_ndcg_full
1,90,8.577777777777778,0.8577777777777779,0.9765336439830133,1.8344444444444443,0.9204951791127927,0.9689124986302792,0.9827702770999168
2,90,8.444444444444445,0.8444444444444444,0.9742163666113096,2.011111111111111,0.9149411615928581,0.9658125549947268,0.9809424594859469
3,90,8.488888888888889,0.8488888888888889,0.9748181822966194,1.902222222222222,0.9245494410094982,0.9753819479947564,0.9879976255904691
4,90,8.444444444444445,0.8444444444444444,0.9718825332247976,2.1444444444444444,0.9222382861498184,0.9676109140070129,0.9830994881899053
