fold,days,mean_correct,mean_accuracy,mean_volume_capture,mean_rank_error,mean_rank_correlation,mean_ndcg_at_k,mean_ndcg_full
1,90,8.544444444444444,0.8544444444444446,0.9757428193655315,1.848888888888889,0.9225773375578045,0.9679899220671138,0.9824727685001744
2,90,8.455555555555556,0.8455555555555556,0.9743106670110019,1.998888888888889,0.9174033857290801,0.96810844056062,0.9825517212620771
3,90,8.5,0.85,0.9745930174906077,1.8933333333333333,0.9264142237534221,0.9743618630063116,0.9874198958270611
4,90,8.433333333333334,0.8433333333333334,0.9716533339442924,2.1155555555555554,0.924051117468325,0.9709831698310364,0.9855028376651487
